business_id,business_name,category,location,cluster,latitude,longitude,price_level,business_age_years,is_our_business,date,rating,review_count,monthly_reviews,sentiment_score,response_rate,response_time_hours,service_score,value_score,website_visits,social_engagement,engagement_rate,repeat_customer_rate,review_velocity,rating_momentum,review_growth_rate,relative_rating,relative_review_volume,relative_sentiment,market_share_estimate,competitive_score,year,month,quarter,month_name
BIZ_001,Cafe Niloufer,Cafe,Banjara Hills,Central,17.435934,78.446235,1,48.0,True,2025-01-01,4.2,7655,20,0.801,0.78,2.7,4.09,4.33,647,179,0.0609,0.504,0.42,0.0,0.0,1.0322,0.5744,1.5039,0.003829,49.5,2025,1,1,Jan 2025
BIZ_001,Cafe Niloufer,Cafe,Banjara Hills,Central,17.435934,78.446235,1,48.1,True,2025-02-01,4.1,7674,19,0.606,0.704,2.4,3.51,4.59,818,194,0.09,0.387,0.4,-0.1,-0.05,1.0039,0.5741,1.1463,0.003828,40.7,2025,2,1,Feb 2025
BIZ_001,Cafe Niloufer,Cafe,Banjara Hills,Central,17.435934,78.446235,1,48.2,True,2025-03-01,4.32,7679,5,0.772,0.714,7.7,4.32,4.18,716,194,0.0237,0.449,0.1,0.22,-0.7368,1.0529,0.152,1.4765,0.001013,41.0,2025,3,1,Mar 2025
BIZ_001,Cafe Niloufer,Cafe,Banjara Hills,Central,17.435934,78.446235,1,48.2,True,2025-04-01,4.52,7693,14,0.793,0.843,3.9,4.24,4.67,778,156,0.0352,0.458,0.29,0.2,1.8,1.0957,0.4257,1.4952,0.002838,50.8,2025,4,2,Apr 2025
BIZ_001,Cafe Niloufer,Cafe,Banjara Hills,Central,17.435934,78.446235,1,48.3,True,2025-05-01,4.27,7704,11,0.802,0.681,4.4,4.11,4.58,709,197,0.0345,0.569,0.23,-0.25,-0.2143,1.0365,0.3845,1.524,0.002564,43.3,2025,5,2,May 2025
BIZ_001,Cafe Niloufer,Cafe,Banjara Hills,Central,17.435934,78.446235,1,48.4,True,2025-06-01,4.32,7719,15,0.689,0.801,2.2,3.94,5.0,657,147,0.0436,0.463,0.31,0.05,0.3636,1.0566,0.5367,1.2975,0.003578,43.3,2025,6,2,Jun 2025
BIZ_001,Cafe Niloufer,Cafe,Banjara Hills,Central,17.435934,78.446235,1,48.5,True,2025-07-01,4.47,7734,15,0.804,0.695,4.4,4.33,4.78,501,166,0.0415,0.547,0.31,0.15,0.0,1.0989,0.6195,1.5029,0.00413,47.3,2025,7,3,Jul 2025
BIZ_001,Cafe Niloufer,Cafe,Banjara Hills,Central,17.435934,78.446235,1,48.6,True,2025-08-01,4.2,7746,12,0.726,0.734,4.8,4.09,4.5,942,159,0.0622,0.381,0.25,-0.27,-0.2,1.04,0.4852,1.3466,0.003235,46.2,2025,8,3,Aug 2025
BIZ_001,Cafe Niloufer,Cafe,Banjara Hills,Central,17.435934,78.446235,1,48.7,True,2025-09-01,4.2,7762,16,0.839,0.812,5.0,4.38,4.33,749,97,0.0201,0.41,0.33,0.0,0.3333,1.0432,0.5493,1.5708,0.003662,42.8,2025,9,3,Sep 2025
BIZ_001,Cafe Niloufer,Cafe,Banjara Hills,Central,17.435934,78.446235,1,48.8,True,2025-10-01,4.15,7781,19,0.732,0.641,1.6,3.76,4.02,1049,159,0.0393,0.353,0.39,-0.05,0.1875,1.0307,0.6532,1.3702,0.004355,41.8,2025,10,4,Oct 2025
BIZ_001,Cafe Niloufer,Cafe,Banjara Hills,Central,17.435934,78.446235,1,48.8,True,2025-11-01,4.22,7795,14,0.897,0.695,4.3,3.67,4.04,1077,83,0.0353,0.534,0.29,0.07,-0.2632,1.0476,0.4492,1.6484,0.002995,43.2,2025,11,4,Nov 2025
BIZ_001,Cafe Niloufer,Cafe,Banjara Hills,Central,17.435934,78.446235,1,48.9,True,2025-12-01,4.34,7812,17,0.801,0.816,4.1,4.17,4.52,773,165,0.0333,0.421,0.35,0.12,0.2143,1.0729,0.5204,1.4791,0.003469,44.9,2025,12,4,Dec 2025
BIZ_001,Cafe Niloufer,Cafe,Banjara Hills,Central,17.435934,78.446235,1,49.0,True,2026-01-01,4.24,7831,19,0.771,0.549,6.5,4.5,4.64,813,106,0.0226,0.493,0.39,-0.1,0.1176,1.0388,0.582,1.4361,0.00388,43.3,2026,1,1,Jan 2026
BIZ_001,Cafe Niloufer,Cafe,Banjara Hills,Central,17.435934,78.446235,1,49.1,True,2026-02-01,4.27,7846,15,0.721,0.68,5.2,3.59,4.58,773,204,0.0528,0.436,0.31,0.03,-0.2105,1.0421,0.4573,1.3496,0.003049,44.8,2026,2,1,Feb 2026
BIZ_001,Cafe Niloufer,Cafe,Banjara Hills,Central,17.435934,78.446235,1,49.2,True,2026-03-01,4.37,7862,16,0.846,0.861,4.1,4.09,4.67,928,108,0.0306,0.403,0.33,0.1,0.0667,1.0631,0.4826,1.5206,0.003217,46.5,2026,3,1,Mar 2026
BIZ_001,Cafe Niloufer,Cafe,Banjara Hills,Central,17.435934,78.446235,1,49.2,True,2026-04-01,4.32,7872,10,0.913,0.711,7.8,3.92,4.59,658,259,0.0377,0.491,0.2,-0.05,-0.375,1.0465,0.3492,1.6841,0.002328,47.2,2026,4,2,Apr 2026
BIZ_001,Cafe Niloufer,Cafe,Banjara Hills,Central,17.435934,78.446235,1,49.3,True,2026-05-01,4.31,7882,10,0.884,0.862,7.5,3.65,4.58,961,66,0.0337,0.425,0.2,-0.01,0.0,1.0475,0.3565,1.6199,0.002377,43.2,2026,5,2,May 2026
BIZ_001,Cafe Niloufer,Cafe,Banjara Hills,Central,17.435934,78.446235,1,49.4,True,2026-06-01,4.49,7900,18,0.811,0.797,8.3,4.17,4.63,595,89,0.0251,0.436,0.36,0.18,0.8,1.0936,0.6861,1.481,0.004574,48.1,2026,6,2,Jun 2026
