business_id,business_name,category,location,cluster,latitude,longitude,price_level,business_age_years,is_our_business,date,rating,review_count,monthly_reviews,sentiment_score,response_rate,response_time_hours,service_score,value_score,website_visits,social_engagement,engagement_rate,repeat_customer_rate
BIZ_001,Cafe Niloufer,Cafe,Banjara Hills,Central,17.435934,78.446235,1,48.0,True,2025-01-01,4.2,7655,20,0.801,0.78,2.7,,4.33,647.0,179.0,0.0609,0.504
BIZ_001,Cafe Niloufer,Cafe,Banjara Hills,Central,17.435934,78.446235,1,48.1,True,2025-02-01,4.1,7674,19,0.606,0.704,2.4,3.51,4.59,818.0,194.0,0.09,0.387
BIZ_001,Cafe Niloufer,Cafe,Banjara Hills,Central,17.435934,78.446235,1,48.2,True,2025-03-01,4.32,7679,5,0.772,0.714,7.7,4.32,4.18,716.0,194.0,0.0237,0.449
BIZ_001,Cafe Niloufer,Cafe,Banjara Hills,Central,17.435934,78.446235,1,48.2,True,2025-04-01,4.52,7693,14,0.793,0.843,3.9,4.24,4.67,778.0,156.0,0.0352,0.458
BIZ_001,Cafe Niloufer,Cafe,Banjara Hills,Central,17.435934,78.446235,1,48.3,True,2025-05-01,4.27,7704,11,0.802,0.681,4.4,4.11,4.58,709.0,197.0,0.0345,0.569
BIZ_001,Cafe Niloufer,Cafe,Banjara Hills,Central,17.435934,78.446235,1,48.4,True,2025-06-01,4.32,7719,15,0.689,0.801,2.2,3.94,5.0,657.0,147.0,0.0436,0.463
BIZ_001,Cafe Niloufer,Cafe,Banjara Hills,Central,17.435934,78.446235,1,48.5,True,2025-07-01,4.47,7734,15,0.804,0.695,4.4,4.33,4.78,501.0,166.0,0.0415,0.547
BIZ_001,Cafe Niloufer,Cafe,Banjara Hills,Central,17.435934,78.446235,1,48.6,True,2025-08-01,4.2,7746,12,0.726,0.734,4.8,4.09,4.5,942.0,159.0,0.0622,0.381
BIZ_001,Cafe Niloufer,Cafe,Banjara Hills,Central,17.435934,78.446235,1,48.7,True,2025-09-01,4.2,7762,16,0.839,0.812,5.0,4.38,4.33,749.0,97.0,0.0201,0.41
BIZ_001,Cafe Niloufer,Cafe,Banjara Hills,Central,17.435934,78.446235,1,48.8,True,2025-10-01,4.15,7781,19,0.732,0.641,1.6,3.76,4.02,1049.0,,0.0393,0.353
BIZ_001,Cafe Niloufer,Cafe,Banjara Hills,Central,17.435934,78.446235,1,48.8,True,2025-11-01,4.22,7795,14,0.897,0.695,4.3,3.67,4.04,1077.0,83.0,0.0353,0.534
BIZ_001,Cafe Niloufer,Cafe,Banjara Hills,Central,17.435934,78.446235,1,48.9,True,2025-12-01,4.34,7812,17,,0.816,4.1,4.17,4.52,773.0,165.0,0.0333,0.421
BIZ_001,Cafe Niloufer,Cafe,Banjara Hills,Central,17.435934,78.446235,1,49.0,True,2026-01-01,4.24,7831,19,0.771,0.549,6.5,4.5,4.64,813.0,106.0,0.0226,0.493
BIZ_001,Cafe Niloufer,Cafe,Banjara Hills,Central,17.435934,78.446235,1,49.1,True,2026-02-01,4.27,7846,15,0.721,0.68,5.2,3.59,4.58,,204.0,0.0528,0.436
BIZ_001,Cafe Niloufer,Cafe,Banjara Hills,Central,17.435934,78.446235,1,49.2,True,2026-03-01,4.37,7862,16,0.846,0.861,4.1,4.09,4.67,928.0,108.0,0.0306,0.403
BIZ_001,Cafe Niloufer,Cafe,Banjara Hills,Central,17.435934,78.446235,1,49.2,True,2026-04-01,4.32,7872,10,0.913,0.711,7.8,3.92,4.59,658.0,259.0,0.0377,0.491
BIZ_001,Cafe Niloufer,Cafe,Banjara Hills,Central,17.435934,78.446235,1,49.3,True,2026-05-01,4.31,7882,10,0.884,0.862,7.5,3.65,4.58,961.0,66.0,0.0337,0.425
BIZ_001,Cafe Niloufer,Cafe,Banjara Hills,Central,17.435934,78.446235,1,49.4,True,2026-06-01,4.49,7900,18,0.811,0.797,8.3,4.17,4.63,595.0,89.0,0.0251,0.436
BIZ_002,Roastery Coffee House,Coffee Shop,Somajiguda,Central,17.438954,78.479461,2,9.0,False,2025-01-01,4.46,15501,206,0.689,0.591,14.5,3.9,4.15,1931.0,519.0,0.0462,0.435
BIZ_002,Roastery Coffee House,Coffee Shop,Somajiguda,Central,17.438954,78.479461,2,9.1,False,2025-02-01,4.42,15684,183,0.682,0.599,3.1,4.27,4.07,1659.0,257.0,0.0482,0.536
BIZ_002,Roastery Coffee House,Coffee Shop,Somajiguda,Central,17.438954,78.479461,2,9.2,False,2025-03-01,4.35,15813,129,0.559,0.552,7.9,4.17,4.66,1386.0,342.0,0.0482,0.477
BIZ_002,Roastery Coffee House,Coffee Shop,Somajiguda,Central,17.438954,78.479461,2,9.2,False,2025-04-01,4.44,15984,171,0.744,0.466,3.1,3.69,4.57,1167.0,106.0,0.0384,0.512
BIZ_002,Roastery Coffee House,Coffee Shop,Somajiguda,Central,17.438954,78.479461,2,9.3,False,2025-05-01,4.45,16125,141,0.664,0.507,7.2,4.12,4.74,1556.0,331.0,0.0273,0.461
BIZ_002,Roastery Coffee House,Coffee Shop,Somajiguda,Central,17.438954,78.479461,2,9.4,False,2025-06-01,4.37,16271,146,0.588,0.548,5.3,4.5,4.49,1296.0,334.0,0.0386,0.437
BIZ_002,Roastery Coffee House,Coffee Shop,Somajiguda,Central,17.438954,78.479461,2,9.5,False,2025-07-01,4.45,16284,13,0.661,0.508,3.5,4.4,4.46,733.0,196.0,0.0341,0.423
BIZ_002,Roastery Coffee House,Coffee Shop,Somajiguda,Central,17.438954,78.479461,2,9.6,False,2025-08-01,4.37,16355,71,0.699,0.698,7.9,4.11,4.74,1348.0,230.0,0.1023,0.442
BIZ_002,Roastery Coffee House,Coffee Shop,Somajiguda,Central,17.438954,78.479461,2,9.7,False,2025-09-01,4.33,16470,115,0.591,0.575,3.8,4.14,4.15,926.0,359.0,0.0396,0.342
BIZ_002,Roastery Coffee House,Coffee Shop,Somajiguda,Central,17.438954,78.479461,2,9.8,False,2025-10-01,4.44,16553,83,0.625,0.428,2.6,4.4,4.62,1325.0,66.0,0.0204,0.513
BIZ_002,Roastery Coffee House,Coffee Shop,Somajiguda,Central,17.438954,78.479461,2,9.8,False,2025-11-01,4.3,16709,156,0.55,0.446,6.1,3.52,4.82,1253.0,318.0,0.0279,0.461
BIZ_002,Roastery Coffee House,Coffee Shop,Somajiguda,Central,17.438954,78.479461,2,9.9,False,2025-12-01,4.52,16810,101,0.506,0.692,3.9,4.12,4.78,1511.0,502.0,0.0259,0.466
BIZ_002,Roastery Coffee House,Coffee Shop,Somajiguda,Central,17.438954,78.479461,2,10.0,False,2026-01-01,4.49,17032,222,0.728,0.573,7.7,4.1,4.53,1366.0,350.0,0.0467,0.571
BIZ_002,Roastery Coffee House,Coffee Shop,Somajiguda,Central,17.438954,78.479461,2,10.1,False,2026-02-01,4.45,17176,144,0.641,0.41,4.1,4.61,4.29,1379.0,386.0,0.0238,0.484
BIZ_002,Roastery Coffee House,Coffee Shop,Somajiguda,Central,17.438954,78.479461,2,10.2,False,2026-03-01,4.4,17295,119,0.693,0.606,9.5,3.83,4.28,1695.0,238.0,0.0498,0.493
BIZ_002,Roastery Coffee House,Coffee Shop,Somajiguda,Central,17.438954,78.479461,2,10.2,False,2026-04-01,4.64,17409,114,0.693,0.551,6.1,4.9,4.77,1659.0,396.0,0.0227,0.498
BIZ_002,Roastery Coffee House,Coffee Shop,Somajiguda,Central,17.438954,78.479461,2,10.3,False,2026-05-01,4.44,17514,105,0.512,0.371,2.6,4.42,4.48,1241.0,247.0,0.0244,0.485
BIZ_002,Roastery Coffee House,Coffee Shop,Somajiguda,Central,17.438954,78.479461,2,10.4,False,2026-06-01,4.51,17673,159,0.564,0.528,6.4,4.24,4.91,1450.0,326.0,0.05,0.418
BIZ_003,Roast CCX,Coffee Shop,Gachibowli,West,17.443317,78.376317,2,2.0,False,2025-01-01,4.59,6105,335,0.897,0.513,2.7,4.54,4.77,921.0,168.0,,0.508
BIZ_003,Roast CCX,Coffee Shop,Gachibowli,West,17.443317,78.376317,2,2.1,False,2025-02-01,4.49,6430,325,0.889,0.639,6.5,4.24,4.18,622.0,100.0,0.0522,0.493
BIZ_003,Roast CCX,Coffee Shop,Gachibowli,West,17.443317,78.376317,2,2.2,False,2025-03-01,4.53,6740,310,0.982,,,4.42,4.9,449.0,85.0,0.0232,0.516
BIZ_003,Roast CCX,Coffee Shop,Gachibowli,West,17.443317,78.376317,2,2.2,False,2025-04-01,4.62,7104,364,0.842,0.532,8.7,4.0,4.18,397.0,157.0,0.0516,0.489
BIZ_003,Roast CCX,Coffee Shop,Gachibowli,West,17.443317,78.376317,2,2.3,False,2025-05-01,4.58,7486,382,0.858,0.523,3.9,4.94,5.0,,138.0,0.0527,0.519
BIZ_003,Roast CCX,Coffee Shop,Gachibowli,West,17.443317,78.376317,2,2.4,False,2025-06-01,4.59,7636,150,0.889,0.493,,4.6,4.83,508.0,150.0,0.0316,0.458
BIZ_003,Roast CCX,Coffee Shop,Gachibowli,West,17.443317,78.376317,2,2.5,False,2025-07-01,4.54,7779,143,0.886,0.558,2.7,4.39,4.68,699.0,60.0,0.0508,0.469
BIZ_003,Roast CCX,Coffee Shop,Gachibowli,West,17.443317,78.376317,2,2.6,False,2025-08-01,4.51,7961,182,0.992,0.698,9.2,4.16,4.23,514.0,38.0,0.0271,0.532
BIZ_003,Roast CCX,Coffee Shop,Gachibowli,West,17.443317,78.376317,2,2.7,False,2025-09-01,4.55,8156,195,0.945,0.491,11.7,4.02,4.54,552.0,92.0,0.0337,0.563
BIZ_003,Roast CCX,Coffee Shop,Gachibowli,West,17.443317,78.376317,2,2.8,False,2025-10-01,4.53,8352,196,0.958,0.41,7.7,4.56,4.83,560.0,107.0,0.0261,0.498
BIZ_003,Roast CCX,Coffee Shop,Gachibowli,West,17.443317,78.376317,2,2.8,False,2025-11-01,4.55,8549,197,0.854,0.48,13.0,4.19,4.55,626.0,84.0,0.0306,0.517
BIZ_003,Roast CCX,Coffee Shop,Gachibowli,West,17.443317,78.376317,2,2.9,False,2025-12-01,4.57,8825,276,0.977,0.354,5.5,4.61,4.25,680.0,82.0,0.0325,0.484
BIZ_003,Roast CCX,Coffee Shop,Gachibowli,West,17.443317,78.376317,2,3.0,False,2026-01-01,4.64,9043,218,0.919,0.467,4.6,4.63,4.53,774.0,223.0,0.0224,0.501
BIZ_003,Roast CCX,Coffee Shop,Gachibowli,West,17.443317,78.376317,2,3.1,False,2026-02-01,4.7,9327,284,0.922,0.427,6.7,4.18,3.97,696.0,160.0,0.0324,0.568
BIZ_003,Roast CCX,Coffee Shop,Gachibowli,West,17.443317,78.376317,2,3.2,False,2026-03-01,4.58,9534,207,0.965,0.65,4.7,4.19,4.56,543.0,143.0,0.026,0.456
BIZ_003,Roast CCX,Coffee Shop,Gachibowli,West,17.443317,78.376317,2,3.2,False,2026-04-01,4.59,9783,249,1.0,0.542,4.8,4.31,4.2,673.0,111.0,0.0355,0.431
BIZ_003,Roast CCX,Coffee Shop,Gachibowli,West,17.443317,78.376317,2,3.3,False,2026-05-01,4.66,10080,297,1.0,0.641,3.5,3.92,4.71,570.0,152.0,0.0401,0.458
BIZ_003,Roast CCX,Coffee Shop,Gachibowli,West,17.443317,78.376317,2,3.4,False,2026-06-01,4.75,10294,214,1.0,0.558,3.5,4.36,5.0,459.0,85.0,0.0241,0.495
BIZ_004,Concu,Bakery & Cafe,Banjara Hills,Central,17.457584,78.464349,3,14.0,False,2025-01-01,4.52,8310,59,,0.622,4.8,4.4,4.31,1087.0,249.0,0.0236,0.466
